

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
00:32.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:33.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:34.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:35.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:36.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:37.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:38.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:39.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.400829	27.548004	0.525000	
00:40.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:41.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:42.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:43.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:44.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:45.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:46.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.520000	
00:47.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.548004	0.525000	
00:48.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.548004	0.525000	
00:49.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.548004	0.525000	
00:50.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:51.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:52.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.548004	0.525000	
00:53.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.548004	0.525000	
00:54.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.548004	0.525000	
00:55.47	246.000000	250.000000	0.000000	32.710583	20.000000	0.000000	-12.800000	32.710583	32.452442	27.496389	0.525000	
00:56.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.496389	0.525000	
00:57.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.496389	0.525000	
00:58.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.496389	0.525000	
00:59.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.496389	0.525000	
01:00.47	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.496389	0.525000	
01:01.47	0.000000	0.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.393139	0.525000	
01:02.47	0.000000	0.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.393139	0.525000	
