Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
04:31.96	251.500015	250.000000	24.640373	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	25.947622	0.470000
04:32.96	252.312515	250.000000	26.516447	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	25.947622	0.470000
04:33.96	253.750000	250.000000	30.016705	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	25.947622	0.470000
04:34.96	254.500000	250.000000	32.063625	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	25.947622	0.470000
04:35.96	255.124985	250.000000	34.049995	26.928497	20.000000	0.000000	205.080002	26.928497	26.360626	25.947622	0.470000
04:36.96	256.250000	250.000000	37.511532	26.928497	20.000000	0.000000	205.080002	26.928497	26.360626	25.947622	0.470000
04:37.96	256.875000	250.000000	39.821541	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	25.947622	0.470000
04:38.96	257.312500	250.000000	41.706947	26.928497	20.000000	0.000000	205.080002	26.928497	26.360626	25.947622	0.470000
04:39.96	257.750000	250.000000	44.153828	26.928497	20.000000	0.000000	205.080002	26.928497	26.360626	25.947622	0.470000
04:40.96	257.750000	250.000000	45.286621	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	25.947622	0.470000
04:41.96	258.062500	250.000000	47.580456	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	26.050875	0.470000
04:42.96	258.125000	250.000000	48.834164	26.928497	20.000000	0.000000	205.080002	26.928497	26.360626	26.050875	0.470000
04:43.96	257.500000	250.000000	48.722977	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	26.050875	0.470000
04:44.96	257.750000	250.000000	50.299633	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	26.050875	0.470000
04:45.96	257.750000	250.000000	51.981606	26.928497	20.000000	0.000000	205.080002	26.928497	26.360626	26.050875	0.470000
04:46.96	257.437500	250.000000	52.504818	26.928497	20.000000	0.000000	205.039993	26.928497	26.360626	26.050875	0.470000
04:47.96	257.125000	250.000000	52.841351	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.050875	0.470000
