Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
00:43.73	236.812500	250.000000	0.000000	28.941906	20.000000	0.000000	141.960007	28.941906	28.115896	26.670380	0.485000	
00:44.73	236.625000	250.000000	0.000000	28.993540	20.000000	0.000000	141.960007	28.993540	28.115896	26.670380	0.485000	
00:45.73	237.062500	250.000000	0.000000	28.941906	20.000000	0.000000	141.960007	28.941906	28.115896	26.670380	0.485000	
00:46.73	237.250000	250.000000	0.152431	28.941906	20.000000	0.000000	141.960007	28.941906	28.115896	26.670380	0.490000	
00:47.73	237.250000	250.000000	0.000000	28.941906	20.000000	0.000000	141.960007	28.941906	28.167511	26.670380	0.485000	
00:48.73	237.437500	250.000000	0.075825	28.993540	20.000000	0.000000	141.919998	28.993540	28.115896	26.670380	0.490000	
00:49.73	237.437500	250.000000	0.000000	28.993540	20.000000	0.000000	141.960007	28.993540	28.115896	26.670380	0.485000	
00:50.73	237.875000	250.000000	0.000000	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
00:51.73	238.187500	250.000000	0.000000	28.993540	20.000000	0.000000	141.919998	28.993540	28.115896	26.670380	0.485000	
00:52.73	238.375000	250.000000	0.127687	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.490000	
00:53.73	238.875000	250.000000	0.000000	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
00:54.73	239.500000	250.000000	0.271357	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
00:55.73	240.062500	250.000000	0.608292	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
00:56.73	241.312500	250.000000	1.731604	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
00:57.73	243.062500	250.000000	3.494549	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
00:58.73	244.437500	250.000000	5.355301	28.890289	20.000000	0.000000	141.919998	28.890289	28.167511	26.670380	0.485000	
00:59.73	246.000000	250.000000	7.388831	28.890289	20.000000	0.000000	141.919998	28.890289	28.167511	26.670380	0.485000	
01:00.73	247.000000	250.000000	8.892954	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
01:01.73	248.187500	250.000000	10.884604	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
01:02.73	249.625000	250.000000	13.472535	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
01:03.73	250.625015	250.000000	15.552632	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
01:04.73	251.374985	250.000000	17.164812	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
01:05.73	252.437500	250.000000	19.665216	28.941906	20.000000	0.000000	141.919998	28.941906	28.167511	26.670380	0.485000	
01:06.73	253.062485	250.000000	21.300142	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
01:07.73	255.562515	250.000000	26.748621	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
01:08.73	254.500000	250.000000	25.610657	28.993540	20.000000	0.000000	141.919998	28.993540	28.167511	26.670380	0.485000	
01:09.74	254.937500	250.000000	27.148890	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.670380	0.485000	
01:10.73	257.312500	250.000000	33.006268	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.670380	0.490000	
01:11.98	256.187500	250.000000	31.697771	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.670380	0.490000	
01:12.73	256.562500	250.000000	33.308708	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.670380	0.485000	
01:13.73	256.875000	250.000000	35.351688	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.721994	0.485000	
01:14.73	257.125000	250.000000	36.890938	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.721994	0.490000	
01:15.73	257.437500	250.000000	38.521679	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.721994	0.485000	
01:16.73	257.500000	250.000000	40.201603	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.721994	0.485000	
