Soubor: ;D:\!private\Lord\Git\UCT\Termografie\lab7 IT2\termokamera\IR_3618.jpg

Parametry:;Emisivita:;0,21 
;Odr. tepl.:;25,7 °C
;Vzdálenost:;0,5 m
;Atmosférická teplota:;21,5 °C
;Teplota externí optiky:;20 °C
;Propustnost externí optiky:;1 
;Relativní vlhkost:;45 %
;
Li2

Parametry:;Emisivita:;0,21 
;Odr. tepl.:;25,7 °C
;Vzdálenost:;0,5 m
;
Snímek 1;176,634;179,139;181,024;178,702;175,564;175,038;175,29;178,098;178,556;177,388;174,785;174,532;174,848;174,932;175,543;176,089;177,868;179,513;179,471;178,598;176,215;174,532;174,574;174,468;174,489;174,532;174,806;174,827;175,038;174,995;175,774;176,362;176,739;176,823;177,242;176,697;

