Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
04:41.96	258.0625	250	47.580456	26.928497	20	0	205.039993	26.928497	26.360626	26.050875	0.47
04:42.96	258.125	250	48.834164	26.928497	20	0	205.080002	26.928497	26.360626	26.050875	0.47
04:43.96	257.5	250	48.722977	26.928497	20	0	205.039993	26.928497	26.360626	26.050875	0.47
04:44.96	257.75	250	50.299633	26.928497	20	0	205.039993	26.928497	26.360626	26.050875	0.47
04:45.96	257.75	250	51.981606	26.928497	20	0	205.080002	26.928497	26.360626	26.050875	0.47
04:46.96	257.4375	250	52.504818	26.928497	20	0	205.039993	26.928497	26.360626	26.050875	0.47
04:47.96	257.125	250	52.841351	26.980133	20	0	205.039993	26.980133	26.360626	26.050875	0.47
04:48.96	257	250	54.189217	26.980133	20	0	205.039993	26.980133	26.360626	26.050875	0.47
04:49.96	257	250	55.178986	26.980133	20	0	205.080002	26.980133	26.360626	26.102488	0.47
04:50.96	256.25	250	54.680794	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
04:51.96	255.124985	250	53.650631	26.980133	20	0	205.080002	26.980133	26.360626	26.102488	0.47
04:52.96	254.812515	250	53.722527	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
04:53.96	253.874985	250	52.53265	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
04:54.96	253.062485	250	51.685219	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
04:55.96	252.4375	250	50.850479	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
04:56.96	251.5625	250	49.399803	26.980133	20	0	205.080002	26.980133	26.360626	26.102488	0.47
04:57.96	250.562485	250	47.646736	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
04:58.96	249.9375	250	46.454697	26.980133	20	0	205.080002	26.980133	26.360626	26.102488	0.47
04:59.96	248.875	250	44.281502	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
05:00.96	247.9375	250	42.103088	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
05:01.96	247.3125	250	40.557652	26.980133	20	0	205.039993	26.980133	26.360626	26.102488	0.47
05:02.96	246.625	250	38.77705	26.980133	20	0	205.080002	26.980133	26.360626	26.154125	0.47
05:03.96	245.875	250	36.495098	26.980133	20	0	205.080002	26.980133	26.412241	26.154125	0.47
05:04.96	245.375	250	34.881683	26.980133	20	0	205.039993	26.980133	26.360626	26.154125	0.47
05:05.96	244.9375	250	33.32122	26.980133	20	0	205.039993	26.980133	26.360626	26.154125	0.47
05:06.96	244.5	250	31.331963	26.980133	20	0	205.039993	26.980133	26.360626	26.154125	0.47
05:08.03	244.1875	250	29.864544	26.980133	20	0	205.039993	26.980133	26.360626	26.154125	0.47
