;30 / 31 / 33,5;;40 / 41,1 / 43,6;;50 / 51,2 / 52,3;
;pyro;kamera;pyro;kamera;pyro;kamera
bílý;0,761;0,84;0,735;0,8;0,725;0,788
GoPro;0,95;0,92;0,906;0,912;0,931;0,958
teflon;0,825;0,87;0,85;0,86;0,821;0,875
polovodič větší;0,34;0,666;0,358;0,508;0,324;0,505
polovodič menší;0,3;0,62;0,284;0,472;0,237;0,475
