[Connect DataFile][1.0]
Date:	25.9.2018
Time:	16:43:40
Unit:	°C
Resolution:	0,020
Time	TObj	TInt	TExt
00:00:03,120	14,5	26,8	-----	
00:00:03,140	14,5	26,8	-----	
00:00:03,160	14,5	26,8	-----	
00:00:03,180	14,5	26,8	-----	
00:00:03,200	14,5	26,8	-----	
00:00:03,220	14,5	26,8	-----	
00:00:03,240	14,5	26,8	-----	
00:00:03,260	14,5	26,8	-----	
00:00:03,280	14,5	26,8	-----	
00:00:03,300	14,5	26,8	-----	
00:00:03,320	14,5	26,8	-----	
00:00:03,340	14,5	26,8	-----	
00:00:03,360	14,5	26,8	-----	
00:00:03,380	14,5	26,8	-----	
00:00:03,400	14,5	26,8	-----	
00:00:03,420	14,5	26,8	-----	
00:00:03,440	14,5	26,8	-----	
00:00:03,460	14,5	26,8	-----	
00:00:03,480	14,5	26,8	-----	
00:00:03,500	14,5	26,8	-----	
00:00:03,520	14,5	26,8	-----	
00:00:03,540	14,5	26,8	-----	
00:00:03,560	14,5	26,8	-----	
00:00:03,580	14,5	26,8	-----	
00:00:03,600	14,5	26,8	-----	
00:00:03,620	14,5	26,8	-----	
00:00:03,640	14,5	26,8	-----	
00:00:03,660	14,5	26,8	-----	
00:00:03,680	14,5	26,8	-----	
00:00:03,700	14,5	26,8	-----	
00:00:03,720	14,5	26,8	-----	
00:00:03,740	14,5	26,8	-----	
00:00:03,760	14,5	26,8	-----	
00:00:03,780	14,5	26,8	-----	
00:00:03,800	14,5	26,8	-----	
00:00:03,820	14,5	26,8	-----	
00:00:03,840	14,5	26,8	-----	
00:00:03,860	14,5	26,8	-----	
00:00:03,880	14,5	26,8	-----	
00:00:03,900	14,5	26,8	-----	
00:00:03,920	14,5	26,8	-----	
00:00:03,940	14,5	26,8	-----	
00:00:03,960	14,5	26,8	-----	
00:00:03,980	14,5	26,8	-----	
00:00:04,000	14,5	26,8	-----	
00:00:04,020	14,5	26,8	-----	
00:00:04,040	14,5	26,8	-----	
00:00:04,060	14,5	26,8	-----	
00:00:04,080	14,5	26,8	-----	
00:00:04,100	14,5	26,8	-----	
00:00:04,120	14,5	26,8	-----	
00:00:04,140	14,5	26,8	-----	
00:00:04,160	14,5	26,8	-----	
00:00:04,180	14,5	26,8	-----	
00:00:04,200	14,5	26,8	-----	
00:00:04,220	14,5	26,8	-----	
00:00:04,240	14,5	26,8	-----	
00:00:04,260	14,5	26,8	-----	
00:00:04,280	14,5	26,8	-----	
00:00:04,300	14,5	26,8	-----	
00:00:04,320	14,5	26,8	-----	
00:00:04,340	14,5	26,8	-----	
00:00:04,360	14,5	26,8	-----	
00:00:04,380	14,5	26,8	-----	
00:00:04,400	14,5	26,8	-----	
00:00:04,420	14,5	26,8	-----	
00:00:04,440	14,5	26,8	-----	
00:00:04,460	14,5	26,8	-----	
00:00:04,480	14,5	26,8	-----	
00:00:04,500	14,5	26,8	-----	
00:00:04,520	14,5	26,8	-----	
00:00:04,540	14,5	26,8	-----	
00:00:04,560	14,5	26,8	-----	
00:00:04,580	14,5	26,8	-----	
00:00:04,600	14,5	26,8	-----	
00:00:04,620	14,5	26,8	-----	
00:00:04,640	14,5	26,8	-----	
00:00:04,660	14,5	26,8	-----	
00:00:04,680	14,5	26,8	-----	
00:00:04,700	14,5	26,8	-----	
00:00:04,720	14,5	26,8	-----	
00:00:04,740	14,5	26,8	-----	
00:00:04,760	14,5	26,8	-----	
00:00:04,780	14,5	26,8	-----	
00:00:04,800	14,5	26,8	-----	
00:00:04,820	14,5	26,8	-----	
00:00:04,840	14,5	26,8	-----	
00:00:04,860	14,5	26,8	-----	
00:00:04,880	14,5	26,8	-----	
00:00:04,900	14,5	26,8	-----	
00:00:04,920	14,5	26,8	-----	
00:00:04,940	14,5	26,8	-----	
00:00:04,960	14,5	26,8	-----	
00:00:04,980	14,5	26,8	-----	
00:00:05,000	14,5	26,8	-----	
00:00:05,020	14,5	26,8	-----	
00:00:05,040	14,5	26,8	-----	
00:00:05,060	14,5	26,8	-----	
00:00:05,080	14,5	26,8	-----	
00:00:05,100	14,5	26,8	-----	
00:00:05,120	14,5	26,8	-----	
00:00:05,140	14,5	26,8	-----	
00:00:05,160	14,5	26,8	-----	
00:00:05,180	14,5	26,8	-----	
00:00:05,200	14,5	26,8	-----	
00:00:05,220	14,5	26,8	-----	
00:00:05,240	14,5	26,8	-----	
00:00:05,260	14,5	26,8	-----	
00:00:05,280	14,5	26,8	-----	
00:00:05,300	14,5	26,8	-----	
00:00:05,320	14,5	26,8	-----	
00:00:05,340	14,5	26,8	-----	
00:00:05,360	14,5	26,8	-----	
00:00:05,380	14,5	26,8	-----	
00:00:05,400	14,5	26,8	-----	
00:00:05,420	14,5	26,8	-----	
00:00:05,440	14,5	26,8	-----	
00:00:05,460	14,5	26,8	-----	
00:00:05,480	14,5	26,8	-----	
00:00:05,500	14,5	26,8	-----	
00:00:05,520	14,5	26,8	-----	
00:00:05,540	14,5	26,8	-----	
00:00:05,560	14,5	26,8	-----	
00:00:05,580	14,5	26,8	-----	
00:00:05,600	14,5	26,8	-----	
00:00:05,620	14,5	26,8	-----	
00:00:05,640	14,5	26,8	-----	
00:00:05,660	14,5	26,8	-----	
00:00:05,680	14,5	26,8	-----	
00:00:05,700	14,5	26,8	-----	
00:00:05,720	14,5	26,8	-----	
00:00:05,740	14,5	26,8	-----	
00:00:05,760	14,5	26,8	-----	
00:00:05,780	14,5	26,8	-----	
00:00:05,800	14,5	26,8	-----	
00:00:05,820	14,5	26,8	-----	
00:00:05,840	14,5	26,8	-----	
00:00:05,860	14,5	26,8	-----	
00:00:05,880	14,5	26,8	-----	
00:00:05,900	14,5	26,8	-----	
00:00:05,920	14,5	26,8	-----	
00:00:05,940	14,5	26,8	-----	
00:00:05,960	14,5	26,8	-----	
00:00:05,980	14,5	26,8	-----	
00:00:06,000	14,5	26,8	-----	
00:00:06,020	14,5	26,8	-----	
00:00:06,040	14,5	26,8	-----	
00:00:06,060	14,5	26,8	-----	
00:00:06,080	14,5	26,8	-----	
00:00:06,100	14,5	26,8	-----	
00:00:06,120	14,5	26,8	-----	
00:00:06,140	14,5	26,8	-----	
00:00:06,160	14,5	26,8	-----	
00:00:06,180	14,5	26,8	-----	
00:00:06,200	14,5	26,8	-----	
00:00:06,220	14,5	26,8	-----	
00:00:06,240	14,5	26,8	-----	
00:00:06,260	14,5	26,8	-----	
00:00:06,280	14,5	26,8	-----	
00:00:06,300	14,5	26,8	-----	
00:00:06,320	14,5	26,8	-----	
00:00:06,340	14,5	26,8	-----	
00:00:06,360	14,5	26,8	-----	
00:00:06,380	14,5	26,8	-----	
00:00:06,400	14,5	26,8	-----	
00:00:06,420	14,5	26,8	-----	
00:00:06,440	14,5	26,8	-----	
00:00:06,460	14,5	26,8	-----	
00:00:06,480	14,5	26,8	-----	
00:00:06,500	14,5	26,8	-----	
00:00:06,520	14,5	26,8	-----	
00:00:06,540	14,5	26,8	-----	
00:00:06,560	14,5	26,8	-----	
00:00:06,580	14,5	26,8	-----	
00:00:06,600	14,5	26,8	-----	
00:00:06,620	14,5	26,8	-----	
00:00:06,640	14,5	26,8	-----	
00:00:06,660	14,5	26,8	-----	
00:00:06,680	14,5	26,8	-----	
00:00:06,700	14,5	26,8	-----	
00:00:06,720	14,5	26,8	-----	
00:00:06,740	14,5	26,8	-----	
00:00:06,760	14,5	26,8	-----	
00:00:06,780	14,5	26,8	-----	
00:00:06,800	14,5	26,8	-----	
00:00:06,820	14,5	26,8	-----	
00:00:06,840	14,5	26,8	-----	
00:00:06,860	14,5	26,8	-----	
00:00:06,880	14,5	26,8	-----	
00:00:06,900	14,5	26,8	-----	
00:00:06,920	14,5	26,8	-----	
00:00:06,940	14,5	26,8	-----	
00:00:06,960	14,5	26,8	-----	
00:00:06,980	14,5	26,8	-----	
00:00:07,000	14,5	26,8	-----	
00:00:07,020	14,5	26,8	-----	
00:00:07,040	14,5	26,8	-----	
00:00:07,060	14,5	26,8	-----	
00:00:07,080	14,5	26,8	-----	
00:00:07,100	14,5	26,8	-----	
00:00:07,120	14,5	26,8	-----	
00:00:07,140	14,5	26,8	-----	
00:00:07,160	14,5	26,8	-----	
00:00:07,180	14,5	26,8	-----	
00:00:07,200	14,5	26,8	-----	
00:00:07,220	14,5	26,8	-----	
00:00:07,240	14,5	26,8	-----	
00:00:07,260	14,5	26,8	-----	
00:00:07,280	14,5	26,8	-----	
00:00:07,300	14,5	26,8	-----	
00:00:07,320	14,5	26,8	-----	
00:00:07,340	14,5	26,8	-----	
00:00:07,360	14,5	26,8	-----	
00:00:07,380	14,5	26,8	-----	
00:00:07,400	14,5	26,8	-----	
00:00:07,420	14,5	26,8	-----	
00:00:07,440	14,5	26,8	-----	
00:00:07,460	14,5	26,8	-----	
00:00:07,480	14,5	26,8	-----	
00:00:07,500	14,5	26,8	-----	
00:00:07,520	14,5	26,8	-----	
00:00:07,540	14,5	26,8	-----	
00:00:07,560	14,5	26,8	-----	
00:00:07,580	14,5	26,8	-----	
00:00:07,600	14,5	26,8	-----	
00:00:07,620	14,5	26,8	-----	
00:00:07,640	14,5	26,8	-----	
00:00:07,660	14,5	26,8	-----	
00:00:07,680	14,5	26,8	-----	
00:00:07,700	14,5	26,8	-----	
00:00:07,720	14,5	26,8	-----	
00:00:07,740	14,5	26,8	-----	
00:00:07,760	14,5	26,8	-----	
00:00:07,780	14,5	26,8	-----	
00:00:07,800	14,5	26,8	-----	
00:00:07,820	14,5	26,8	-----	
00:00:07,840	14,5	26,8	-----	
00:00:07,860	14,5	26,8	-----	
00:00:07,880	14,5	26,8	-----	
00:00:07,900	14,5	26,8	-----	
00:00:07,920	14,5	26,8	-----	
00:00:07,940	14,5	26,8	-----	
00:00:07,960	14,5	26,8	-----	
00:00:07,980	14,5	26,8	-----	
00:00:08,000	14,5	26,8	-----	
00:00:08,020	14,5	26,8	-----	
00:00:08,040	14,5	26,8	-----	
00:00:08,060	14,5	26,8	-----	
00:00:08,080	14,5	26,8	-----	
00:00:08,100	14,5	26,8	-----	
00:00:08,120	14,5	26,8	-----	
00:00:08,140	14,5	26,8	-----	
00:00:08,160	14,5	26,8	-----	
00:00:08,180	14,5	26,8	-----	
00:00:08,200	14,5	26,8	-----	
00:00:08,220	14,5	26,8	-----	
00:00:08,240	14,5	26,8	-----	
00:00:08,260	14,5	26,8	-----	
00:00:08,280	14,5	26,8	-----	
00:00:08,300	14,5	26,8	-----	
00:00:08,320	14,5	26,8	-----	
00:00:08,340	14,5	26,8	-----	
00:00:08,360	14,5	26,8	-----	
00:00:08,380	14,5	26,8	-----	
00:00:08,400	14,5	26,8	-----	
00:00:08,420	14,5	26,8	-----	
00:00:08,440	14,5	26,8	-----	
00:00:08,460	14,5	26,8	-----	
00:00:08,480	14,5	26,8	-----	
00:00:08,500	14,5	26,8	-----	
00:00:08,520	14,5	26,8	-----	
00:00:08,540	14,5	26,8	-----	
00:00:08,560	14,5	26,8	-----	
00:00:08,580	14,5	26,8	-----	
00:00:08,600	14,5	26,8	-----	
00:00:08,620	14,5	26,8	-----	
00:00:08,640	14,5	26,8	-----	
00:00:08,660	14,5	26,8	-----	
00:00:08,680	14,5	26,8	-----	
00:00:08,700	14,5	26,8	-----	
00:00:08,720	14,5	26,8	-----	
00:00:08,740	14,5	26,8	-----	
00:00:08,760	14,5	26,8	-----	
00:00:08,780	14,5	26,8	-----	
00:00:08,800	14,5	26,8	-----	
00:00:08,820	14,5	26,8	-----	
00:00:08,840	14,5	26,8	-----	
00:00:08,860	14,5	26,8	-----	
00:00:08,880	14,5	26,8	-----	
00:00:08,900	14,5	26,8	-----	
00:00:08,920	14,5	26,8	-----	
00:00:08,940	14,5	26,8	-----	
00:00:08,960	14,5	26,8	-----	
00:00:08,980	14,5	26,8	-----	
00:00:09,000	14,5	26,8	-----	
00:00:09,020	14,5	26,8	-----	
00:00:09,040	14,5	26,8	-----	
00:00:09,060	14,5	26,8	-----	
00:00:09,080	14,5	26,8	-----	
00:00:09,100	14,5	26,8	-----	
00:00:09,120	14,5	26,8	-----	
00:00:09,140	14,5	26,8	-----	
00:00:09,160	14,5	26,8	-----	
00:00:09,180	14,5	26,8	-----	
00:00:09,200	14,5	26,8	-----	
00:00:09,220	14,5	26,8	-----	
00:00:09,240	14,5	26,8	-----	
00:00:09,260	14,5	26,8	-----	
00:00:09,280	14,5	26,8	-----	
00:00:09,300	14,5	26,8	-----	
00:00:09,320	14,6	26,8	-----	
00:00:09,340	14,6	26,8	-----	
00:00:09,360	14,6	26,8	-----	
00:00:09,380	14,6	26,8	-----	
00:00:09,400	14,7	26,8	-----	
00:00:09,420	14,7	26,8	-----	
00:00:09,440	14,9	26,8	-----	
00:00:09,460	15,0	26,8	-----	
00:00:09,480	15,1	26,8	-----	
00:00:09,500	15,1	26,8	-----	
00:00:09,520	15,1	26,8	-----	
00:00:09,540	15,2	26,8	-----	
00:00:09,560	15,3	26,8	-----	
00:00:09,580	15,4	26,8	-----	
00:00:09,600	15,5	26,8	-----	
00:00:09,620	15,7	26,8	-----	
00:00:09,640	15,9	26,8	-----	
00:00:09,660	16,0	26,8	-----	
00:00:09,680	16,0	26,8	-----	
00:00:09,700	16,0	26,8	-----	
00:00:09,720	16,0	26,8	-----	
00:00:09,740	16,1	26,8	-----	
00:00:09,760	16,2	26,8	-----	
00:00:09,780	16,3	26,8	-----	
00:00:09,800	16,4	26,8	-----	
00:00:09,820	16,5	26,8	-----	
00:00:09,840	16,6	26,8	-----	
00:00:09,860	16,7	26,8	-----	
00:00:09,880	16,8	26,8	-----	
00:00:09,900	16,8	26,8	-----	
00:00:09,920	16,8	26,8	-----	
00:00:09,940	16,9	26,8	-----	
00:00:09,960	17,0	26,8	-----	
