[Connect DataFile][1.0]
Date:	25.9.2018
Time:	16:43:40
Unit:	°C
Resolution:	0,020
Time	TObj	TInt	TExt
00:00:13,720	28,3	26,8	-----	
00:00:13,740	28,3	26,8	-----	
00:00:13,760	28,3	26,8	-----	
00:00:13,780	28,4	26,8	-----	
00:00:13,800	28,5	26,8	-----	
00:00:13,820	28,5	26,8	-----	
00:00:13,840	28,6	26,8	-----	
00:00:13,860	28,7	26,8	-----	
00:00:13,880	28,8	26,8	-----	
00:00:13,900	28,8	26,8	-----	
00:00:13,920	28,8	26,8	-----	
00:00:13,940	28,8	26,8	-----	
00:00:13,960	28,8	26,8	-----	
00:00:13,980	28,8	26,8	-----	
00:00:14,000	28,9	26,8	-----	
00:00:14,020	29,0	26,8	-----	
00:00:14,040	29,0	26,8	-----	
00:00:14,060	29,1	26,8	-----	
00:00:14,080	29,1	26,8	-----	
00:00:14,100	29,1	26,8	-----	
00:00:14,120	29,1	26,8	-----	
00:00:14,140	29,1	26,8	-----	
00:00:14,160	29,2	26,8	-----	
00:00:14,180	29,3	26,8	-----	
00:00:14,200	29,3	26,8	-----	
00:00:14,220	29,3	26,8	-----	
00:00:14,240	29,4	26,8	-----	
00:00:14,260	29,5	26,8	-----	
00:00:14,280	29,5	26,8	-----	
00:00:14,300	29,5	26,8	-----	
00:00:14,320	29,5	26,8	-----	
00:00:14,340	29,5	26,8	-----	
00:00:14,360	29,6	26,8	-----	
00:00:14,380	29,7	26,8	-----	
00:00:14,400	29,7	26,8	-----	
00:00:14,420	29,8	26,8	-----	
00:00:14,440	29,8	26,8	-----	
00:00:14,460	29,8	26,8	-----	
00:00:14,480	29,9	26,8	-----	
00:00:14,500	30,0	26,8	-----	
00:00:14,520	30,0	26,8	-----	
00:00:14,540	30,0	26,8	-----	
00:00:14,560	30,0	26,8	-----	
00:00:14,580	30,1	26,8	-----	
00:00:14,600	30,2	26,8	-----	
00:00:14,620	30,2	26,8	-----	
00:00:14,640	30,3	26,8	-----	
00:00:14,660	30,3	26,8	-----	
00:00:14,680	30,4	26,8	-----	
00:00:14,700	30,4	26,8	-----	
00:00:14,720	30,5	26,8	-----	
00:00:14,740	30,5	26,8	-----	
00:00:14,760	30,5	26,8	-----	
00:00:14,780	30,5	26,8	-----	
00:00:14,800	30,6	26,8	-----	
00:00:14,820	30,6	26,8	-----	
00:00:14,840	30,6	26,8	-----	
00:00:14,860	30,7	26,8	-----	
00:00:14,880	30,7	26,8	-----	
00:00:14,900	30,8	26,8	-----	
00:00:14,920	30,9	26,8	-----	
00:00:14,940	30,9	26,8	-----	
00:00:14,960	30,9	26,8	-----	
00:00:14,980	30,9	26,8	-----	
00:00:15,000	31,0	26,8	-----	
00:00:15,020	31,0	26,8	-----	
00:00:15,040	31,0	26,8	-----	
00:00:15,060	31,1	26,8	-----	
00:00:15,080	31,2	26,8	-----	
00:00:15,100	31,2	26,8	-----	
00:00:15,120	31,2	26,8	-----	
00:00:15,140	31,2	26,8	-----	
00:00:15,160	31,2	26,8	-----	
00:00:15,180	31,2	26,8	-----	
00:00:15,200	31,3	26,8	-----	
00:00:15,220	31,3	26,8	-----	
00:00:15,240	31,3	26,8	-----	
00:00:15,260	31,4	26,8	-----	
00:00:15,280	31,5	26,8	-----	
00:00:15,300	31,6	26,8	-----	
00:00:15,320	31,7	26,8	-----	
00:00:15,340	31,7	26,8	-----	
00:00:15,360	31,7	26,8	-----	
00:00:15,380	31,7	26,8	-----	
00:00:15,400	31,7	26,8	-----	
00:00:15,420	31,8	26,8	-----	
00:00:15,440	31,8	26,8	-----	
00:00:15,460	31,8	26,8	-----	
00:00:15,480	31,8	26,8	-----	
00:00:15,500	31,9	26,8	-----	
00:00:15,520	32,0	26,8	-----	
00:00:15,540	32,0	26,8	-----	
00:00:15,560	32,1	26,8	-----	
00:00:15,580	32,2	26,8	-----	
00:00:15,600	32,3	26,8	-----	
00:00:15,620	32,3	26,8	-----	
00:00:15,640	32,3	26,8	-----	
00:00:15,660	32,4	26,8	-----	
00:00:15,680	32,4	26,8	-----	
00:00:15,700	32,4	26,8	-----	
00:00:15,720	32,4	26,8	-----	
00:00:15,740	32,5	26,8	-----	
00:00:15,760	32,5	26,8	-----	
00:00:15,780	32,5	26,8	-----	
00:00:15,800	32,6	26,8	-----	
00:00:15,820	32,7	26,8	-----	
00:00:15,840	32,7	26,8	-----	
00:00:15,860	32,7	26,8	-----	
00:00:15,880	32,7	26,8	-----	
00:00:15,900	32,8	26,8	-----	
00:00:15,920	32,8	26,8	-----	
00:00:15,940	32,9	26,8	-----	
00:00:15,960	32,9	26,8	-----	
00:00:15,980	33,0	26,8	-----	
00:00:16,000	33,0	26,8	-----	
00:00:16,020	33,0	26,8	-----	
00:00:16,040	33,0	26,8	-----	
00:00:16,060	33,0	26,8	-----	
00:00:16,080	33,1	26,8	-----	
00:00:16,100	33,2	26,8	-----	
00:00:16,120	33,2	26,8	-----	
00:00:16,140	33,2	26,8	-----	
00:00:16,160	33,2	26,8	-----	
00:00:16,180	33,2	26,8	-----	
00:00:16,200	33,2	26,8	-----	
00:00:16,220	33,3	26,8	-----	
00:00:16,240	33,3	26,8	-----	
00:00:16,260	33,4	26,8	-----	
00:00:16,280	33,4	26,8	-----	
00:00:16,300	33,4	26,8	-----	
00:00:16,320	33,4	26,8	-----	
00:00:16,340	33,5	26,8	-----	
00:00:16,360	33,5	26,8	-----	
00:00:16,380	33,6	26,8	-----	
00:00:16,400	33,6	26,8	-----	
00:00:16,420	33,7	26,8	-----	
00:00:16,440	33,7	26,8	-----	
00:00:16,460	33,7	26,8	-----	
00:00:16,480	33,8	26,8	-----	
00:00:16,500	33,8	26,8	-----	
00:00:16,520	33,8	26,8	-----	
00:00:16,540	33,9	26,8	-----	
00:00:16,560	33,9	26,8	-----	
00:00:16,580	33,9	26,8	-----	
00:00:16,600	34,0	26,8	-----	
00:00:16,620	34,0	26,8	-----	
00:00:16,640	34,1	26,8	-----	
00:00:16,660	34,1	26,8	-----	
00:00:16,680	34,1	26,8	-----	
00:00:16,700	34,2	26,8	-----	
00:00:16,720	34,4	26,8	-----	
00:00:16,740	34,4	26,8	-----	
00:00:16,760	34,4	26,8	-----	
00:00:16,780	34,4	26,8	-----	
00:00:16,800	34,5	26,8	-----	
00:00:16,820	34,5	26,8	-----	
00:00:16,840	34,5	26,8	-----	
00:00:16,860	34,6	26,8	-----	
00:00:16,880	34,6	26,8	-----	
00:00:16,900	34,6	26,8	-----	
00:00:16,920	34,6	26,8	-----	
00:00:16,940	34,7	26,8	-----	
00:00:16,960	34,8	26,8	-----	
00:00:16,980	34,8	26,8	-----	
00:00:17,000	34,8	26,8	-----	
00:00:17,020	34,8	26,8	-----	
00:00:17,040	34,8	26,8	-----	
00:00:17,060	34,9	26,8	-----	
00:00:17,080	34,9	26,8	-----	
00:00:17,100	34,9	26,8	-----	
00:00:17,120	34,9	26,8	-----	
00:00:17,140	34,9	26,8	-----	
00:00:17,160	35,0	26,8	-----	
00:00:17,180	35,0	26,8	-----	
00:00:17,200	35,1	26,8	-----	
00:00:17,220	35,2	26,8	-----	
00:00:17,240	35,2	26,8	-----	
00:00:17,260	35,2	26,8	-----	
00:00:17,280	35,2	26,8	-----	
00:00:17,300	35,2	26,8	-----	
00:00:17,320	35,3	26,8	-----	
00:00:17,340	35,3	26,8	-----	
00:00:17,360	35,4	26,8	-----	
00:00:17,380	35,4	26,8	-----	
00:00:17,400	35,5	26,8	-----	
00:00:17,420	35,5	26,8	-----	
00:00:17,440	35,5	26,8	-----	
00:00:17,460	35,5	26,8	-----	
00:00:17,480	35,5	26,8	-----	
00:00:17,500	35,6	26,8	-----	
00:00:17,520	35,7	26,8	-----	
00:00:17,540	35,8	26,8	-----	
00:00:17,560	35,8	26,8	-----	
00:00:17,580	35,8	26,8	-----	
00:00:17,600	35,8	26,8	-----	
00:00:17,620	35,8	26,8	-----	
00:00:17,640	35,8	26,8	-----	
00:00:17,660	35,9	26,8	-----	
00:00:17,680	36,0	26,8	-----	
00:00:17,700	36,0	26,8	-----	
00:00:17,720	36,0	26,8	-----	
00:00:17,740	36,0	26,8	-----	
00:00:17,760	36,1	26,8	-----	
00:00:17,780	36,1	26,8	-----	
00:00:17,800	36,1	26,8	-----	
00:00:17,820	36,2	26,8	-----	
00:00:17,840	36,3	26,8	-----	
00:00:17,860	36,3	26,8	-----	
00:00:17,880	36,3	26,8	-----	
00:00:17,900	36,3	26,8	-----	
00:00:17,920	36,3	26,8	-----	
00:00:17,940	36,3	26,8	-----	
00:00:17,960	36,3	26,8	-----	
00:00:17,980	36,3	26,8	-----	
00:00:18,000	36,3	26,8	-----	
00:00:18,020	36,4	26,8	-----	
00:00:18,040	36,5	26,8	-----	
00:00:18,060	36,5	26,8	-----	
00:00:18,080	36,5	26,8	-----	
00:00:18,100	36,5	26,8	-----	
00:00:18,120	36,5	26,8	-----	
00:00:18,140	36,6	26,8	-----	
00:00:18,160	36,6	26,8	-----	
00:00:18,180	36,6	26,8	-----	
00:00:18,200	36,7	26,8	-----	
00:00:18,220	36,8	26,8	-----	
00:00:18,240	36,8	26,8	-----	
00:00:18,260	36,8	26,8	-----	
00:00:18,280	36,8	26,8	-----	
00:00:18,300	36,8	26,8	-----	
00:00:18,320	36,9	26,8	-----	
00:00:18,340	37,0	26,8	-----	
00:00:18,360	37,0	26,8	-----	
00:00:18,380	37,0	26,8	-----	
00:00:18,400	37,1	26,8	-----	
00:00:18,420	37,1	26,8	-----	
00:00:18,440	37,1	26,8	-----	
00:00:18,460	37,2	26,8	-----	
00:00:18,480	37,2	26,8	-----	
00:00:18,500	37,2	26,8	-----	
00:00:18,520	37,2	26,8	-----	
00:00:18,540	37,2	26,8	-----	
00:00:18,560	37,2	26,8	-----	
00:00:18,580	37,3	26,8	-----	
00:00:18,600	37,3	26,8	-----	
00:00:18,620	37,3	26,8	-----	
00:00:18,640	37,3	26,8	-----	
00:00:18,660	37,3	26,8	-----	
00:00:18,680	37,3	26,8	-----	
00:00:18,700	37,4	26,8	-----	
00:00:18,720	37,5	26,8	-----	
00:00:18,740	37,5	26,8	-----	
00:00:18,760	37,6	26,8	-----	
00:00:18,780	37,7	26,8	-----	
00:00:18,800	37,7	26,8	-----	
00:00:18,820	37,7	26,8	-----	
00:00:18,840	37,7	26,8	-----	
00:00:18,860	37,8	26,8	-----	
00:00:18,880	37,8	26,8	-----	
00:00:18,900	37,8	26,8	-----	
00:00:18,920	37,8	26,8	-----	
00:00:18,940	37,8	26,8	-----	
00:00:18,960	37,8	26,8	-----	
00:00:18,980	37,8	26,8	-----	
00:00:19,000	37,9	26,8	-----	
00:00:19,020	38,0	26,8	-----	
00:00:19,040	38,0	26,8	-----	
00:00:19,060	38,1	26,8	-----	
00:00:19,080	38,1	26,8	-----	
00:00:19,100	38,2	26,8	-----	
00:00:19,120	38,2	26,8	-----	
00:00:19,140	38,2	26,8	-----	
00:00:19,160	38,2	26,8	-----	
00:00:19,180	38,2	26,8	-----	
00:00:19,200	38,2	26,8	-----	
00:00:19,220	38,2	26,8	-----	
00:00:19,240	38,2	26,8	-----	
00:00:19,260	38,3	26,8	-----	
00:00:19,280	38,3	26,8	-----	
00:00:19,300	38,4	26,8	-----	
00:00:19,320	38,4	26,8	-----	
00:00:19,340	38,5	26,8	-----	
00:00:19,360	38,5	26,8	-----	
00:00:19,380	38,5	26,8	-----	
00:00:19,400	38,5	26,8	-----	
00:00:19,420	38,5	26,8	-----	
00:00:19,440	38,5	26,8	-----	
00:00:19,460	38,6	26,8	-----	
00:00:19,480	38,6	26,8	-----	
00:00:19,500	38,6	26,8	-----	
00:00:19,520	38,7	26,8	-----	
00:00:19,540	38,8	26,8	-----	
00:00:19,560	38,8	26,8	-----	
00:00:19,580	38,9	26,8	-----	
00:00:19,600	38,9	26,8	-----	
00:00:19,620	38,9	26,8	-----	
00:00:19,640	38,9	26,8	-----	
00:00:19,660	38,9	26,8	-----	
00:00:19,680	38,9	26,8	-----	
00:00:19,700	38,9	26,8	-----	
00:00:19,720	39,0	26,8	-----	
00:00:19,740	39,0	26,8	-----	
00:00:19,760	39,0	26,8	-----	
00:00:19,780	39,1	26,8	-----	
00:00:19,800	39,1	26,8	-----	
00:00:19,820	39,1	26,8	-----	
00:00:19,840	39,1	26,8	-----	
00:00:19,860	39,1	26,8	-----	
00:00:19,880	39,2	26,8	-----	
00:00:19,900	39,2	26,8	-----	
00:00:19,920	39,3	26,8	-----	
00:00:19,940	39,3	26,8	-----	
00:00:19,960	39,3	26,8	-----	
00:00:19,980	39,3	26,8	-----	
00:00:20,000	39,3	26,8	-----	
00:00:20,020	39,3	26,8	-----	
00:00:20,040	39,3	26,8	-----	
00:00:20,060	39,3	26,8	-----	
00:00:20,080	39,4	26,8	-----	
00:00:20,100	39,5	26,8	-----	
00:00:20,120	39,5	26,8	-----	
00:00:20,140	39,5	26,8	-----	
00:00:20,160	39,6	26,8	-----	
00:00:20,180	39,6	26,8	-----	
00:00:20,200	39,6	26,8	-----	
00:00:20,220	39,6	26,8	-----	
00:00:20,240	39,7	26,8	-----	
00:00:20,260	39,7	26,8	-----	
00:00:20,280	39,7	26,8	-----	
00:00:20,300	39,7	26,8	-----	
00:00:20,320	39,7	26,8	-----	
00:00:20,340	39,7	26,8	-----	
00:00:20,360	39,7	26,8	-----	
00:00:20,380	39,8	26,8	-----	
00:00:20,400	39,9	26,8	-----	
00:00:20,420	39,9	26,8	-----	
00:00:20,440	39,9	26,8	-----	
00:00:20,460	39,9	26,8	-----	
00:00:20,480	39,9	26,8	-----	
00:00:20,500	39,9	26,8	-----	
00:00:20,520	39,9	26,8	-----	
00:00:20,540	39,9	26,8	-----	
00:00:20,560	39,9	26,8	-----	
00:00:20,580	39,9	26,8	-----	
00:00:20,600	40,0	26,8	-----	
00:00:20,620	40,0	26,8	-----	
00:00:20,640	40,1	26,8	-----	
00:00:20,660	40,1	26,8	-----	
00:00:20,680	40,1	26,8	-----	
00:00:20,700	40,1	26,8	-----	
00:00:20,720	40,1	26,8	-----	
00:00:20,740	40,2	26,8	-----	
00:00:20,760	40,3	26,8	-----	
00:00:20,780	40,3	26,8	-----	
00:00:20,800	40,3	26,8	-----	
00:00:20,820	40,4	26,8	-----	
00:00:20,840	40,4	26,8	-----	
00:00:20,860	40,4	26,8	-----	
00:00:20,880	40,4	26,8	-----	
00:00:20,900	40,4	26,8	-----	
00:00:20,920	40,5	26,8	-----	
00:00:20,940	40,5	26,8	-----	
00:00:20,960	40,5	26,8	-----	
00:00:20,980	40,5	26,8	-----	
00:00:21,000	40,5	26,8	-----	
00:00:21,020	40,5	26,8	-----	
00:00:21,040	40,5	26,7	-----	
00:00:21,060	40,6	26,7	-----	
00:00:21,080	40,5	26,7	-----	
00:00:21,100	40,5	26,7	-----	
00:00:21,120	40,5	26,7	-----	
00:00:21,140	40,5	26,7	-----	
00:00:21,160	40,5	26,7	-----	
00:00:21,180	40,6	26,7	-----	
00:00:21,200	40,7	26,7	-----	
00:00:21,220	40,7	26,7	-----	
00:00:21,240	40,7	26,7	-----	
00:00:21,260	40,7	26,7	-----	
00:00:21,280	40,7	26,7	-----	
00:00:21,300	40,8	26,7	-----	
00:00:21,320	40,8	26,7	-----	
00:00:21,340	41,0	26,7	-----	
00:00:21,360	41,0	26,7	-----	
00:00:21,380	41,0	26,7	-----	
00:00:21,400	41,0	26,7	-----	
00:00:21,420	41,0	26,7	-----	
00:00:21,440	41,0	26,7	-----	
00:00:21,460	41,0	26,7	-----	
00:00:21,480	41,0	26,7	-----	
00:00:21,500	41,0	26,7	-----	
00:00:21,520	41,0	26,7	-----	
00:00:21,540	41,0	26,7	-----	
00:00:21,560	41,1	26,7	-----	
00:00:21,580	41,1	26,7	-----	
00:00:21,600	41,1	26,7	-----	
00:00:21,620	41,1	26,7	-----	
00:00:21,640	41,1	26,7	-----	
00:00:21,660	41,2	26,7	-----	
00:00:21,680	41,2	26,7	-----	
00:00:21,700	41,2	26,7	-----	
00:00:21,720	41,2	26,7	-----	
00:00:21,740	41,2	26,7	-----	
00:00:21,760	41,2	26,7	-----	
00:00:21,780	41,2	26,7	-----	
00:00:21,800	41,3	26,7	-----	
00:00:21,820	41,3	26,7	-----	
00:00:21,840	41,3	26,7	-----	
00:00:21,860	41,3	26,7	-----	
00:00:21,880	41,4	26,7	-----	
00:00:21,900	41,5	26,7	-----	
00:00:21,920	41,5	26,7	-----	
00:00:21,940	41,5	26,7	-----	
00:00:21,960	41,5	26,7	-----	
00:00:21,980	41,5	26,7	-----	
00:00:22,000	41,6	26,7	-----	
00:00:22,020	41,6	26,7	-----	
00:00:22,040	41,7	26,7	-----	
00:00:22,060	41,7	26,7	-----	
00:00:22,080	41,7	26,7	-----	
00:00:22,100	41,7	26,7	-----	
00:00:22,120	41,7	26,7	-----	
00:00:22,140	41,7	26,7	-----	
00:00:22,160	41,7	26,7	-----	
00:00:22,180	41,7	26,7	-----	
00:00:22,200	41,7	26,7	-----	
00:00:22,220	41,8	26,7	-----	
00:00:22,240	41,8	26,7	-----	
00:00:22,260	41,8	26,7	-----	
00:00:22,280	41,9	26,7	-----	
00:00:22,300	41,9	26,7	-----	
00:00:22,320	41,9	26,7	-----	
00:00:22,340	41,9	26,7	-----	
00:00:22,360	41,9	26,7	-----	
00:00:22,380	41,9	26,7	-----	
00:00:22,400	42,0	26,7	-----	
00:00:22,420	42,0	26,7	-----	
00:00:22,440	42,0	26,7	-----	
00:00:22,460	42,0	26,7	-----	
00:00:22,480	42,0	26,7	-----	
00:00:22,500	42,0	26,7	-----	
00:00:22,520	42,1	26,7	-----	
00:00:22,540	42,1	26,7	-----	
00:00:22,560	42,1	26,7	-----	
00:00:22,580	42,2	26,7	-----	
00:00:22,600	42,2	26,7	-----	
00:00:22,620	42,3	26,7	-----	
00:00:22,640	42,3	26,7	-----	
00:00:22,660	42,3	26,7	-----	
00:00:22,680	42,3	26,7	-----	
00:00:22,700	42,3	26,7	-----	
00:00:22,720	42,3	26,7	-----	
00:00:22,740	42,3	26,7	-----	
00:00:22,760	42,4	26,7	-----	
00:00:22,780	42,4	26,7	-----	
00:00:22,800	42,4	26,7	-----	
00:00:22,820	42,4	26,7	-----	
00:00:22,840	42,4	26,7	-----	
00:00:22,860	42,4	26,7	-----	
00:00:22,880	42,4	26,7	-----	
00:00:22,900	42,4	26,7	-----	
00:00:22,920	42,4	26,7	-----	
00:00:22,940	42,4	26,7	-----	
00:00:22,960	42,4	26,7	-----	
00:00:22,980	42,5	26,7	-----	
00:00:23,000	42,5	26,7	-----	
00:00:23,020	42,5	26,7	-----	
00:00:23,040	42,5	26,7	-----	
00:00:23,060	42,5	26,7	-----	
00:00:23,080	42,6	26,7	-----	
00:00:23,100	42,6	26,7	-----	
00:00:23,120	42,6	26,7	-----	
00:00:23,140	42,6	26,7	-----	
00:00:23,160	42,6	26,7	-----	
00:00:23,180	42,7	26,7	-----	
00:00:23,200	42,7	26,7	-----	
00:00:23,220	42,7	26,7	-----	
00:00:23,240	42,7	26,7	-----	
00:00:23,260	42,7	26,7	-----	
00:00:23,280	42,7	26,7	-----	
00:00:23,300	42,7	26,7	-----	
00:00:23,320	42,7	26,7	-----	
00:00:23,340	42,7	26,7	-----	
00:00:23,360	42,8	26,7	-----	
00:00:23,380	42,9	26,7	-----	
00:00:23,400	42,9	26,7	-----	
00:00:23,420	42,9	26,7	-----	
00:00:23,440	42,9	26,7	-----	
00:00:23,460	42,9	26,7	-----	
00:00:23,480	42,9	26,7	-----	
00:00:23,500	43,0	26,7	-----	
00:00:23,520	43,0	26,7	-----	
00:00:23,540	43,0	26,7	-----	
00:00:23,560	43,0	26,7	-----	
00:00:23,580	43,0	26,7	-----	
00:00:23,600	43,0	26,7	-----	
00:00:23,620	43,0	26,7	-----	
00:00:23,640	43,1	26,7	-----	
00:00:23,660	43,1	26,7	-----	
00:00:23,680	43,2	26,7	-----	
00:00:23,700	43,3	26,7	-----	
00:00:23,720	43,3	26,7	-----	
00:00:23,740	43,3	26,7	-----	
00:00:23,760	43,3	26,7	-----	
00:00:23,780	43,3	26,7	-----	
00:00:23,800	43,3	26,7	-----	
00:00:23,820	43,4	26,7	-----	
00:00:23,840	43,4	26,7	-----	
00:00:23,860	43,4	26,7	-----	
00:00:23,880	43,4	26,7	-----	
00:00:23,900	43,4	26,7	-----	
00:00:23,920	43,4	26,7	-----	
00:00:23,940	43,4	26,7	-----	
00:00:23,960	43,4	26,7	-----	
00:00:23,980	43,4	26,7	-----	
00:00:24,000	43,4	26,7	-----	
00:00:24,020	43,4	26,7	-----	
00:00:24,040	43,5	26,7	-----	
00:00:24,060	43,5	26,7	-----	
00:00:24,080	43,5	26,7	-----	
00:00:24,100	43,5	26,7	-----	
00:00:24,120	43,5	26,7	-----	
00:00:24,140	43,5	26,7	-----	
00:00:24,160	43,6	26,7	-----	
00:00:24,180	43,6	26,7	-----	
00:00:24,200	43,7	26,7	-----	
00:00:24,220	43,7	26,7	-----	
00:00:24,240	43,7	26,7	-----	
00:00:24,260	43,7	26,7	-----	
00:00:24,280	43,7	26,7	-----	
00:00:24,300	43,7	26,7	-----	
00:00:24,320	43,7	26,7	-----	
00:00:24,340	43,7	26,7	-----	
00:00:24,360	43,7	26,7	-----	
00:00:24,380	43,7	26,7	-----	
00:00:24,400	43,7	26,7	-----	
00:00:24,420	43,8	26,7	-----	
00:00:24,440	43,8	26,7	-----	
00:00:24,460	43,8	26,7	-----	
00:00:24,480	43,8	26,7	-----	
00:00:24,500	43,9	26,7	-----	
00:00:24,520	43,9	26,8	-----	
00:00:24,540	43,9	26,8	-----	
00:00:24,560	43,9	26,8	-----	
00:00:24,580	43,9	26,8	-----	
00:00:24,600	43,9	26,8	-----	
00:00:24,620	44,0	26,8	-----	
00:00:24,640	44,1	26,8	-----	
00:00:24,660	44,1	26,8	-----	
00:00:24,680	44,1	26,8	-----	
00:00:24,700	44,1	26,8	-----	
00:00:24,720	44,1	26,8	-----	
00:00:24,740	44,1	26,8	-----	
00:00:24,760	44,1	26,8	-----	
00:00:24,780	44,1	26,8	-----	
00:00:24,800	44,1	26,8	-----	
00:00:24,820	44,2	26,8	-----	
00:00:24,840	44,2	26,8	-----	
00:00:24,860	44,2	26,8	-----	
00:00:24,880	44,2	26,8	-----	
00:00:24,900	44,3	26,8	-----	
00:00:24,920	44,3	26,8	-----	
00:00:24,940	44,3	26,8	-----	
00:00:24,960	44,3	26,8	-----	
00:00:24,980	44,3	26,8	-----	
00:00:25,000	44,4	26,8	-----	
00:00:25,020	44,4	26,8	-----	
00:00:25,040	44,4	26,8	-----	
00:00:25,060	44,4	26,8	-----	
00:00:25,080	44,4	26,8	-----	
00:00:25,100	44,4	26,8	-----	
00:00:25,120	44,4	26,8	-----	
00:00:25,140	44,4	26,8	-----	
00:00:25,160	44,4	26,8	-----	
00:00:25,180	44,4	26,8	-----	
00:00:25,200	44,5	26,8	-----	
00:00:25,220	44,5	26,8	-----	
00:00:25,240	44,6	26,8	-----	
00:00:25,260	44,6	26,8	-----	
00:00:25,280	44,6	26,8	-----	
00:00:25,300	44,6	26,8	-----	
00:00:25,320	44,6	26,8	-----	
00:00:25,340	44,6	26,8	-----	
00:00:25,360	44,6	26,8	-----	
00:00:25,380	44,6	26,8	-----	
00:00:25,400	44,7	26,8	-----	
00:00:25,420	44,7	26,8	-----	
00:00:25,440	44,7	26,8	-----	
00:00:25,460	44,7	26,8	-----	
00:00:25,480	44,8	26,8	-----	
00:00:25,500	44,8	26,8	-----	
00:00:25,520	44,8	26,8	-----	
00:00:25,540	44,9	26,8	-----	
00:00:25,560	44,9	26,8	-----	
00:00:25,580	44,9	26,8	-----	
00:00:25,600	44,9	26,8	-----	
00:00:25,620	44,9	26,8	-----	
00:00:25,640	44,9	26,8	-----	
00:00:25,660	44,9	26,8	-----	
00:00:25,680	44,9	26,8	-----	
00:00:25,700	44,9	26,8	-----	
00:00:25,720	44,9	26,8	-----	
00:00:25,740	44,9	26,8	-----	
00:00:25,760	44,9	26,8	-----	
00:00:25,780	45,0	26,8	-----	
00:00:25,800	45,0	26,8	-----	
00:00:25,820	45,0	26,8	-----	
00:00:25,840	45,0	26,8	-----	
00:00:25,860	45,0	26,8	-----	
00:00:25,880	45,0	26,8	-----	
00:00:25,900	45,0	26,8	-----	
00:00:25,920	45,0	26,8	-----	
00:00:25,940	45,1	26,8	-----	
00:00:25,960	45,1	26,8	-----	
00:00:25,980	45,1	26,8	-----	
00:00:26,000	45,1	26,8	-----	
00:00:26,020	45,1	26,8	-----	
00:00:26,040	45,1	26,8	-----	
00:00:26,060	45,1	26,8	-----	
00:00:26,080	45,1	26,8	-----	
00:00:26,100	45,1	26,8	-----	
00:00:26,120	45,2	26,8	-----	
00:00:26,140	45,2	26,8	-----	
00:00:26,160	45,2	26,8	-----	
00:00:26,180	45,2	26,8	-----	
00:00:26,200	45,2	26,8	-----	
00:00:26,220	45,2	26,8	-----	
00:00:26,240	45,2	26,8	-----	
00:00:26,260	45,2	26,8	-----	
00:00:26,280	45,2	26,8	-----	
00:00:26,300	45,2	26,8	-----	
00:00:26,320	45,2	26,7	-----	
00:00:26,340	45,3	26,7	-----	
00:00:26,360	45,3	26,7	-----	
00:00:26,380	45,3	26,7	-----	
00:00:26,400	45,3	26,7	-----	
00:00:26,420	45,2	26,7	-----	
00:00:26,440	45,3	26,7	-----	
00:00:26,460	45,3	26,7	-----	
00:00:26,480	45,3	26,7	-----	
00:00:26,500	45,4	26,7	-----	
00:00:26,520	45,4	26,7	-----	
00:00:26,540	45,4	26,7	-----	
00:00:26,560	45,4	26,7	-----	
00:00:26,580	45,4	26,7	-----	
00:00:26,600	45,4	26,7	-----	
00:00:26,620	45,4	26,7	-----	
00:00:26,640	45,4	26,7	-----	
00:00:26,660	45,4	26,7	-----	
00:00:26,680	45,4	26,7	-----	
00:00:26,700	45,5	26,7	-----	
00:00:26,720	45,5	26,7	-----	
00:00:26,740	45,5	26,7	-----	
00:00:26,760	45,5	26,7	-----	
00:00:26,780	45,5	26,7	-----	
00:00:26,800	45,5	26,7	-----	
00:00:26,820	45,5	26,7	-----	
00:00:26,840	45,6	26,7	-----	
00:00:26,860	45,7	26,7	-----	
00:00:26,880	45,7	26,7	-----	
00:00:26,900	45,7	26,7	-----	
00:00:26,920	45,7	26,7	-----	
00:00:26,940	45,7	26,7	-----	
00:00:26,960	45,7	26,7	-----	
00:00:26,980	45,7	26,7	-----	
00:00:27,000	45,7	26,7	-----	
00:00:27,020	45,7	26,7	-----	
00:00:27,040	45,7	26,7	-----	
00:00:27,060	45,7	26,7	-----	
00:00:27,080	45,7	26,7	-----	
00:00:27,100	45,7	26,7	-----	
00:00:27,120	45,8	26,7	-----	
00:00:27,140	45,8	26,7	-----	
00:00:27,160	45,8	26,7	-----	
00:00:27,180	45,8	26,7	-----	
00:00:27,200	45,8	26,7	-----	
00:00:27,220	45,8	26,7	-----	
00:00:27,240	45,8	26,7	-----	
00:00:27,260	45,9	26,7	-----	
00:00:27,280	45,9	26,7	-----	
00:00:27,300	45,9	26,7	-----	
00:00:27,320	45,9	26,7	-----	
00:00:27,340	45,9	26,7	-----	
00:00:27,360	45,9	26,7	-----	
00:00:27,380	45,9	26,7	-----	
00:00:27,400	45,9	26,7	-----	
00:00:27,420	46,0	26,7	-----	
00:00:27,440	46,0	26,7	-----	
00:00:27,460	46,0	26,7	-----	
00:00:27,480	46,1	26,7	-----	
00:00:27,500	46,1	26,7	-----	
00:00:27,520	46,1	26,7	-----	
00:00:27,540	46,1	26,7	-----	
00:00:27,560	46,1	26,7	-----	
00:00:27,580	46,1	26,7	-----	
00:00:27,600	46,1	26,7	-----	
00:00:27,620	46,1	26,7	-----	
