SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Oct 02 17:45:06 CEST 2018
User: Admin
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: HR+C0365
Integration Time (usec): 150000 (HR+C0365)
Spectra Averaged: 5 (HR+C0365)
Boxcar Smoothing: 0 (HR+C0365)
Correct for Electrical Dark: Yes (HR+C0365)
Strobe/Lamp Enabled: No (HR+C0365)
Correct for Detector Non-linearity: No (HR+C0365)
Correct for Stray Light: No (HR+C0365)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
188,54	13,44
189,01	13,44
189,48	-1,36
189,96	1,64
190,43	1,44
190,90	10,84
191,37	-5,56
191,84	2,44
192,31	6,84
192,78	4,84
193,26	7,64
193,73	-3,76
194,20	-10,76
194,67	-11,56
195,14	2,44
195,61	3,04
196,08	-17,76
196,56	-16,56
197,03	-19,56
197,50	4,44
197,97	-5,36
198,44	-15,96
198,91	-9,96
199,38	0,84
199,85	8,44
200,32	10,44
200,80	-1,76
201,27	-14,16
201,74	11,04
202,21	21,44
202,68	7,84
203,15	-9,16
203,62	-0,36
204,09	10,44
204,56	0,64
205,03	-15,16
205,50	7,44
205,98	8,44
206,45	7,44
206,92	14,04
207,39	9,84
207,86	-0,16
208,33	5,04
208,80	5,24
209,27	20,04
209,74	-13,76
210,21	-2,56
210,68	14,84
211,15	11,44
211,62	1,84
212,09	4,24
212,56	19,44
213,03	16,04
213,51	-9,96
213,98	8,84
214,45	18,04
214,92	42,64
215,39	5,84
215,86	3,24
216,33	4,44
216,80	15,64
217,27	16,84
217,74	-2,56
218,21	-16,16
218,68	3,64
219,15	5,24
219,62	16,04
220,09	10,44
220,56	6,64
221,03	-11,76
221,50	7,04
221,97	3,84
222,44	11,84
222,91	-1,16
223,38	7,84
223,85	13,64
224,32	3,04
224,79	18,24
225,26	9,24
225,73	4,04
226,20	0,84
226,67	-2,56
227,14	11,84
227,61	11,24
228,08	2,04
228,55	14,24
229,02	-11,96
229,49	2,04
229,96	28,44
230,43	10,64
230,89	4,64
231,36	-2,56
231,83	9,44
232,30	14,64
232,77	-3,56
233,24	-2,76
233,71	-1,56
234,18	18,24
234,65	8,84
235,12	-4,36
235,59	19,64
236,06	6,24
236,53	7,64
237,00	5,04
237,47	8,84
237,94	-10,16
238,40	11,24
238,87	3,24
239,34	15,64
239,81	2,84
240,28	12,04
240,75	11,84
241,22	16,44
241,69	5,64
242,16	-4,36
242,63	6,84
243,10	4,44
243,56	6,64
244,03	15,64
244,50	14,44
244,97	17,64
245,44	14,04
245,91	1,04
246,38	1,64
246,85	10,04
247,31	-9,16
247,78	3,04
248,25	-8,76
248,72	3,24
249,19	19,64
249,66	5,04
250,13	14,04
250,60	7,84
251,06	2,84
251,53	12,84
252,00	19,24
252,47	9,64
252,94	2,64
253,41	8,64
253,87	5,44
254,34	26,04
254,81	1,64
255,28	-6,76
255,75	16,24
256,22	13,44
256,69	11,84
257,15	0,24
257,62	-8,36
258,09	11,44
258,56	17,04
259,03	5,04
259,49	-2,56
259,96	12,04
260,43	13,84
260,90	-0,36
261,37	-16,36
261,83	10,04
262,30	21,44
262,77	2,04
263,24	3,44
263,71	8,24
264,17	9,84
264,64	2,04
265,11	-8,96
265,58	3,44
266,05	2,04
266,51	5,24
266,98	17,04
267,45	-8,76
267,92	1,24
268,38	-8,16
268,85	-8,16
269,32	10,44
269,79	16,24
270,25	15,24
270,72	3,84
271,19	0,04
271,66	6,64
272,12	11,84
272,59	12,04
273,06	9,04
273,53	4,84
273,99	-1,36
274,46	1,44
274,93	16,24
275,40	11,44
275,86	11,64
276,33	-5,36
276,80	9,24
277,27	-1,36
277,73	-1,76
278,20	3,44
278,67	16,64
279,13	11,44
279,60	24,84
280,07	13,44
280,54	0,24
281,00	-0,56
281,47	7,84
281,94	3,44
282,40	26,84
282,87	3,24
283,34	7,84
283,80	14,84
284,27	23,84
284,74	13,24
285,21	-11,36
285,67	-1,36
286,14	-0,56
286,61	-1,96
287,07	8,04
287,54	-8,76
288,01	9,44
288,47	2,04
288,94	3,64
289,41	-12,96
289,87	-2,76
290,34	2,84
290,81	5,84
291,27	7,84
291,74	3,64
292,20	10,04
292,67	3,84
293,14	4,64
293,60	-3,76
294,07	7,84
294,54	10,44
295,00	16,84
295,47	-0,36
295,94	3,04
296,40	0,24
296,87	18,04
297,33	14,04
297,80	16,24
298,27	17,84
298,73	2,44
299,20	11,24
299,67	9,24
300,13	-8,36
300,60	20,44
301,06	26,84
301,53	12,24
302,00	17,04
302,46	-0,56
302,93	-4,76
303,39	-10,36
303,86	11,24
304,32	-7,36
304,79	-2,56
305,26	7,84
305,72	-0,76
306,19	3,24
306,65	10,84
307,12	12,64
307,59	16,24
308,05	-4,36
308,52	6,64
308,98	11,24
309,45	5,04
309,91	5,64
310,38	-3,96
310,84	13,84
311,31	13,04
311,78	5,64
312,24	9,64
312,71	16,84
313,17	15,04
313,64	-3,16
314,10	9,24
314,57	16,64
315,03	-2,76
315,50	20,04
315,96	6,44
316,43	-2,36
316,89	8,44
317,36	-2,36
317,82	2,04
318,29	5,24
318,75	10,84
319,22	6,24
319,68	-8,56
320,15	6,64
320,61	14,84
321,08	5,84
321,54	13,24
322,01	15,24
322,47	14,64
322,94	12,44
323,40	21,44
323,87	16,24
324,33	4,44
324,80	8,04
325,26	6,64
325,73	0,84
326,19	17,64
326,66	7,84
327,12	16,24
327,59	14,84
328,05	-0,56
328,52	17,84
