SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Oct 02 18:08:30 CEST 2018
User: Admin
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: HR+C0365
Integration Time (usec): 150000 (HR+C0365)
Spectra Averaged: 5 (HR+C0365)
Boxcar Smoothing: 0 (HR+C0365)
Correct for Electrical Dark: Yes (HR+C0365)
Strobe/Lamp Enabled: No (HR+C0365)
Correct for Detector Non-linearity: No (HR+C0365)
Correct for Stray Light: No (HR+C0365)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
188,54	8,08
189,01	8,08
189,48	-5,72
189,96	16,28
190,43	4,08
190,90	1,08
191,37	7,08
191,84	-6,92
192,31	2,88
192,78	6,88
193,26	-12,52
193,73	1,08
194,20	-5,92
194,67	-6,92
195,14	-12,72
195,61	-0,52
196,08	-21,92
196,56	-9,32
197,03	-22,12
197,50	0,08
197,97	-14,52
198,44	-5,72
198,91	2,28
199,38	-10,92
199,85	18,08
200,32	10,08
200,80	1,48
201,27	-16,72
201,74	5,48
202,21	1,48
202,68	4,28
203,15	0,68
203,62	-0,52
204,09	-3,52
204,56	0,08
205,03	-3,52
205,50	0,68
205,98	6,08
206,45	-8,72
206,92	12,08
207,39	7,88
207,86	-4,72
208,33	-4,52
208,80	3,88
209,27	34,28
209,74	-2,72
210,21	-5,52
210,68	-2,72
211,15	3,48
211,62	5,48
212,09	2,08
212,56	4,28
213,03	12,48
213,51	8,28
213,98	13,48
214,45	10,28
214,92	23,68
215,39	5,68
215,86	3,48
216,33	-2,32
216,80	20,48
217,27	-2,12
217,74	24,68
218,21	-2,72
218,68	-2,12
219,15	3,28
219,62	10,08
220,09	12,08
220,56	11,88
221,03	-15,72
221,50	6,88
221,97	-0,32
222,44	11,08
222,91	-5,92
223,38	-16,32
223,85	8,48
224,32	10,08
224,79	11,48
225,26	-0,52
225,73	-0,32
226,20	12,68
226,67	-1,72
227,14	13,28
227,61	8,48
228,08	2,68
228,55	5,68
229,02	3,88
229,49	-1,12
229,96	11,88
230,43	3,28
230,89	8,68
231,36	3,08
231,83	-6,72
232,30	-1,52
232,77	3,28
233,24	6,68
233,71	-1,32
234,18	9,08
234,65	-4,72
235,12	-1,52
235,59	9,08
236,06	2,28
236,53	1,28
237,00	2,08
237,47	17,88
237,94	-4,72
238,40	-0,12
238,87	-16,92
239,34	21,48
239,81	4,88
240,28	9,68
240,75	14,68
241,22	-3,52
241,69	7,28
242,16	3,08
242,63	3,28
243,10	-1,32
243,56	-7,52
244,03	11,48
244,50	11,28
244,97	8,28
245,44	6,48
245,91	1,88
246,38	1,68
246,85	2,08
247,31	-1,32
247,78	6,08
248,25	4,88
248,72	-3,52
249,19	12,48
249,66	-7,52
250,13	17,88
250,60	-0,92
251,06	-0,52
251,53	0,08
252,00	-4,52
252,47	10,08
252,94	-7,52
253,41	-12,72
253,87	5,28
254,34	9,48
254,81	5,08
255,28	-10,72
255,75	12,88
256,22	2,88
256,69	2,08
257,15	13,28
257,62	-2,12
258,09	-8,72
258,56	18,48
259,03	12,68
259,49	3,88
259,96	17,68
260,43	-12,52
260,90	1,08
261,37	-12,32
261,83	2,28
262,30	0,68
262,77	-11,92
263,24	-3,12
263,71	11,08
264,17	-0,32
264,64	2,28
265,11	-2,72
265,58	0,28
266,05	-3,72
266,51	-8,52
266,98	10,48
267,45	2,28
267,92	2,08
268,38	-18,32
268,85	-23,32
269,32	8,48
269,79	3,48
270,25	1,68
270,72	6,28
271,19	-3,32
271,66	0,28
272,12	10,08
272,59	10,28
273,06	3,08
273,53	0,68
273,99	9,68
274,46	3,48
274,93	-0,72
275,40	-5,72
275,86	8,68
276,33	-1,32
276,80	-0,52
277,27	-6,12
277,73	-2,12
278,20	6,88
278,67	15,48
279,13	14,68
279,60	8,88
280,07	9,68
280,54	-3,12
281,00	-3,72
281,47	2,08
281,94	-7,32
282,40	14,88
282,87	-4,32
283,34	4,68
283,80	13,88
284,27	15,48
284,74	7,48
285,21	-15,12
285,67	-11,12
286,14	-2,72
286,61	5,08
287,07	9,28
287,54	-15,12
288,01	-4,12
288,47	8,88
288,94	5,28
289,41	-19,12
289,87	0,88
290,34	-1,12
290,81	9,88
291,27	22,28
291,74	-15,52
292,20	-4,72
292,67	2,88
293,14	0,08
293,60	-8,92
294,07	-1,92
294,54	10,28
295,00	20,08
295,47	22,28
295,94	10,88
296,40	-7,92
296,87	6,48
297,33	17,08
297,80	15,48
298,27	17,88
298,73	-12,52
299,20	9,08
299,67	-16,32
300,13	-6,92
300,60	9,68
301,06	7,88
301,53	2,48
302,00	11,68
302,46	-4,32
302,93	-8,72
303,39	-18,32
303,86	5,08
304,32	4,28
304,79	-10,92
305,26	-2,12
305,72	-15,72
306,19	2,48
306,65	9,28
307,12	3,08
307,59	11,68
308,05	-4,32
308,52	-0,52
308,98	1,68
309,45	1,08
309,91	1,28
310,38	2,68
310,84	8,68
311,31	10,88
311,78	-2,72
312,24	17,88
312,71	8,08
313,17	10,88
313,64	5,08
314,10	-6,72
314,57	7,08
315,03	-13,32
315,50	4,68
315,96	-1,12
316,43	-4,72
316,89	5,28
317,36	-5,12
317,82	5,68
318,29	-4,32
318,75	-1,72
319,22	-7,72
319,68	-2,32
320,15	3,88
320,61	16,88
321,08	15,68
321,54	6,28
322,01	1,08
322,47	6,68
322,94	4,28
323,40	20,08
323,87	4,08
324,33	4,88
324,80	-4,12
325,26	-4,12
325,73	-1,72
326,19	7,48
