Time	Temp
00:06.4	14.5
00:06.4	14.5
00:06.4	14.5
00:06.4	14.5
00:06.5	14.5
00:06.5	14.5
00:06.5	14.5
00:06.5	14.5
00:06.5	14.5
00:06.6	14.5
00:06.6	14.5
00:06.6	14.5
00:06.6	14.5
00:06.6	14.5
00:06.7	14.5
00:06.7	14.5
00:06.7	14.5
00:06.7	14.5
00:06.7	14.5
00:06.8	14.5
00:06.8	14.5
00:06.8	14.5
00:06.8	14.5
00:06.8	14.5
00:06.9	14.5
00:06.9	14.5
00:06.9	14.5
00:06.9	14.5
00:06.9	14.5
00:07.0	14.5
00:07.0	14.5
00:07.0	14.5
00:07.0	14.5
00:07.0	14.5
00:07.1	14.5
00:07.1	14.5
00:07.1	14.5
00:07.1	14.5
00:07.1	14.5
00:07.2	14.5
00:07.2	14.5
00:07.2	14.5
00:07.2	14.5
00:07.2	14.5
00:07.3	14.5
00:07.3	14.5
00:07.3	14.5
00:07.3	14.5
00:07.3	14.5
00:07.4	14.5
00:07.4	14.5
00:07.4	14.5
00:07.4	14.5
00:07.4	14.5
00:07.5	14.5
00:07.5	14.5
00:07.5	14.5
00:07.5	14.5
00:07.5	14.5
00:07.6	14.5
00:07.6	14.5
00:07.6	14.5
00:07.6	14.5
00:07.6	14.5
00:07.7	14.5
00:07.7	14.5
00:07.7	14.5
00:07.7	14.5
00:07.7	14.5
00:07.8	14.5
00:07.8	14.5
00:07.8	14.5
00:07.8	14.5
00:07.8	14.5
00:07.9	14.5
00:07.9	14.5
00:07.9	14.5
00:07.9	14.5
00:07.9	14.5
00:08.0	14.5
00:08.0	14.5
00:08.0	14.5
00:08.0	14.5
00:08.0	14.5
00:08.1	14.5
00:08.1	14.5
00:08.1	14.5
00:08.1	14.5
00:08.1	14.5
00:08.2	14.5
00:08.2	14.5
00:08.2	14.5
00:08.2	14.5
00:08.2	14.5
00:08.3	14.5
00:08.3	14.5
00:08.3	14.5
00:08.3	14.5
00:08.3	14.5
00:08.4	14.5
00:08.4	14.5
00:08.4	14.5
00:08.4	14.5
00:08.4	14.5
00:08.5	14.5
00:08.5	14.5
00:08.5	14.5
00:08.5	14.5
00:08.5	14.5
00:08.6	14.5
00:08.6	14.5
00:08.6	14.5
00:08.6	14.5
00:08.6	14.5
00:08.7	14.5
00:08.7	14.5
00:08.7	14.5
00:08.7	14.5
00:08.7	14.5
00:08.8	14.5
00:08.8	14.5
00:08.8	14.5
00:08.8	14.5
00:08.8	14.5
00:08.9	14.5
00:08.9	14.5
00:08.9	14.5
00:08.9	14.5
00:08.9	14.5
00:09.0	14.5
00:09.0	14.5
00:09.0	14.5
00:09.0	14.5
00:09.0	14.5
00:09.1	14.5
00:09.1	14.5
00:09.1	14.5
00:09.1	14.5
00:09.1	14.5
00:09.2	14.5
00:09.2	14.5
00:09.2	14.5
00:09.2	14.5
00:09.2	14.5
00:09.3	14.5
00:09.3	14.5
00:09.3	14.5
00:09.3	14.6
00:09.3	14.6
00:09.4	14.6
00:09.4	14.6
00:09.4	14.7
00:09.4	14.7
00:09.4	14.9
00:09.5	15
00:09.5	15.1
00:09.5	15.1
00:09.5	15.1
00:09.5	15.2
00:09.6	15.3
00:09.6	15.4
00:09.6	15.5
00:09.6	15.7
00:09.6	15.9
00:09.7	16
00:09.7	16
00:09.7	16
00:09.7	16
00:09.7	16.1
00:09.8	16.2
00:09.8	16.3
00:09.8	16.4
00:09.8	16.5
00:09.8	16.6
00:09.9	16.7
00:09.9	16.8
00:09.9	16.8
00:09.9	16.8
00:09.9	16.9
00:10.0	17
00:10.0	17.1
00:10.0	17.2
00:10.0	17.3
00:10.0	17.4
00:10.1	17.5
00:10.1	17.5
00:10.1	17.6
00:10.1	17.8
00:10.1	17.8
00:10.2	17.9
00:10.2	18
00:10.2	18
00:10.2	18.2
00:10.2	18.4
00:10.3	18.4
00:10.3	18.5
00:10.3	18.6
00:10.3	18.7
00:10.3	18.8
00:10.4	18.8
00:10.4	18.9
00:10.4	19
00:10.4	19
00:10.4	19
00:10.5	19
00:10.5	19
00:10.5	19.2
00:10.5	19.3
00:10.5	19.4
00:10.6	19.5
00:10.6	19.7
00:10.6	19.8
00:10.6	19.8
00:10.6	19.9
00:10.7	20
00:10.7	20
00:10.7	20
00:10.7	20.2
00:10.7	20.3
00:10.8	20.3
00:10.8	20.4
00:10.8	20.6
00:10.8	20.7
00:10.8	20.7
00:10.9	20.8
00:10.9	20.9
00:10.9	20.9
00:10.9	20.9
00:10.9	20.9
00:11.0	21.3
00:11.0	21.3
00:11.0	21.4
00:11.0	21.6
00:11.0	21.7
00:11.1	21.7
00:11.1	21.7
00:11.1	21.7
00:11.1	21.8
00:11.1	21.8
00:11.2	21.8
00:11.2	22
00:11.2	22
00:11.2	22
00:11.2	22.1
00:11.3	22.2
00:11.3	22.2
00:11.3	22.3
00:11.3	22.3
00:11.3	22.3
00:11.4	22.4
00:11.4	22.5
00:11.4	22.6
00:11.4	22.7
00:11.4	22.7
00:11.5	22.7
00:11.5	22.8
00:11.5	22.8
00:11.5	22.9
00:11.5	23.2
00:11.6	23.2
00:11.6	23.2
00:11.6	23.2
00:11.6	23.3
00:11.6	23.3
00:11.7	23.4
00:11.7	23.5
00:11.7	23.5
00:11.7	23.5
00:11.7	23.6
00:11.8	23.7
00:11.8	23.7
00:11.8	23.7
00:11.8	23.7
00:11.8	23.8
00:11.9	23.8
00:11.9	23.9
00:11.9	24
00:11.9	24
00:11.9	24
00:12.0	24
00:12.0	24.1
00:12.0	24.2
00:12.0	24.3
00:12.0	24.3
00:12.1	24.3
00:12.1	24.4
00:12.1	24.5
00:12.1	24.5
00:12.1	24.6
00:12.2	24.7
00:12.2	24.7
00:12.2	24.7
00:12.2	24.8
00:12.2	24.8
00:12.3	24.9
00:12.3	24.9
00:12.3	24.9
00:12.3	24.9
00:12.3	24.9
00:12.4	25
00:12.4	25.1
00:12.4	25.2
00:12.4	25.3
00:12.4	25.4
00:12.5	25.5
00:12.5	25.5
00:12.5	25.5
00:12.5	25.5
00:12.5	25.5
00:12.6	25.5
00:12.6	25.6
00:12.6	25.7
00:12.6	25.8
00:12.6	25.8
00:12.7	25.9
00:12.7	26
00:12.7	26
00:12.7	26
00:12.7	26
00:12.8	26.1
00:12.8	26.2
00:12.8	26.2
00:12.8	26.2
00:12.8	26.3
00:12.9	26.3
00:12.9	26.4
00:12.9	26.5
00:12.9	26.5
00:12.9	26.6
00:13.0	26.7
00:13.0	26.8
00:13.0	26.8
00:13.0	26.9
00:13.0	26.9
00:13.1	26.9
00:13.1	27
00:13.1	27
00:13.1	27.1
00:13.1	27.1
00:13.2	27.1
00:13.2	27.2
00:13.2	27.3
00:13.2	27.3
00:13.2	27.3
00:13.3	27.3
00:13.3	27.3
00:13.3	27.3
00:13.3	27.4
00:13.3	27.4
00:13.4	27.5
00:13.4	27.5
00:13.4	27.6
00:13.4	27.6
00:13.4	27.7
00:13.5	27.7
00:13.5	27.7
00:13.5	27.8
00:13.5	27.8
00:13.5	27.8
00:13.6	27.9
00:13.6	28
00:13.6	28
00:13.6	28.1
00:13.6	28.2
00:13.7	28.2
00:13.7	28.2
00:13.7	28.3
00:13.7	28.3
00:13.7	28.3
00:13.8	28.3
00:13.8	28.4
00:13.8	28.5
00:13.8	28.5
00:13.8	28.6
00:13.9	28.7
00:13.9	28.8
00:13.9	28.8
00:13.9	28.8
00:13.9	28.8
00:14.0	28.8
00:14.0	28.8
00:14.0	28.9
00:14.0	29
00:14.0	29
00:14.1	29.1
00:14.1	29.1
00:14.1	29.1
00:14.1	29.1
00:14.1	29.1
00:14.2	29.2
00:14.2	29.3
00:14.2	29.3
00:14.2	29.3
00:14.2	29.4
00:14.3	29.5
00:14.3	29.5
00:14.3	29.5
00:14.3	29.5
00:14.3	29.5
00:14.4	29.6
00:14.4	29.7
00:14.4	29.7
00:14.4	29.8
00:14.4	29.8
00:14.5	29.8
00:14.5	29.9
00:14.5	30
00:14.5	30
00:14.5	30
00:14.6	30
00:14.6	30.1
00:14.6	30.2
00:14.6	30.2
00:14.6	30.3
00:14.7	30.3
00:14.7	30.4
00:14.7	30.4
00:14.7	30.5
00:14.7	30.5
00:14.8	30.5
00:14.8	30.5
00:14.8	30.6
00:14.8	30.6
00:14.8	30.6
00:14.9	30.7
00:14.9	30.7
00:14.9	30.8
00:14.9	30.9
00:14.9	30.9
00:15.0	30.9
00:15.0	30.9
00:15.0	31
00:15.0	31
00:15.0	31
00:15.1	31.1
00:15.1	31.2
00:15.1	31.2
00:15.1	31.2
00:15.1	31.2
00:15.2	31.2
00:15.2	31.2
00:15.2	31.3
00:15.2	31.3
00:15.2	31.3
00:15.3	31.4
00:15.3	31.5
00:15.3	31.6
00:15.3	31.7
00:15.3	31.7
00:15.4	31.7
00:15.4	31.7
00:15.4	31.7
00:15.4	31.8
00:15.4	31.8
00:15.5	31.8
00:15.5	31.8
00:15.5	31.9
00:15.5	32
00:15.5	32
00:15.6	32.1
00:15.6	32.2
00:15.6	32.3
00:15.6	32.3
00:15.6	32.3
00:15.7	32.4
00:15.7	32.4
00:15.7	32.4
00:15.7	32.4
00:15.7	32.5
00:15.8	32.5
00:15.8	32.5
00:15.8	32.6
00:15.8	32.7
00:15.8	32.7
00:15.9	32.7
00:15.9	32.7
00:15.9	32.8
00:15.9	32.8
00:15.9	32.9
00:16.0	32.9
00:16.0	33
00:16.0	33
00:16.0	33
00:16.0	33
00:16.1	33
00:16.1	33.1
00:16.1	33.2
00:16.1	33.2
00:16.1	33.2
00:16.2	33.2
00:16.2	33.2
00:16.2	33.2
00:16.2	33.3
00:16.2	33.3
00:16.3	33.4
00:16.3	33.4
00:16.3	33.4
00:16.3	33.4
00:16.3	33.5
00:16.4	33.5
00:16.4	33.6
00:16.4	33.6
00:16.4	33.7
00:16.4	33.7
00:16.5	33.7
00:16.5	33.8
00:16.5	33.8
00:16.5	33.8
00:16.5	33.9
00:16.6	33.9
00:16.6	33.9
00:16.6	34
00:16.6	34
00:16.6	34.1
00:16.7	34.1
00:16.7	34.1
00:16.7	34.2
00:16.7	34.4
00:16.7	34.4
00:16.8	34.4
00:16.8	34.4
00:16.8	34.5
00:16.8	34.5
00:16.8	34.5
00:16.9	34.6
00:16.9	34.6
00:16.9	34.6
00:16.9	34.6
00:16.9	34.7
00:17.0	34.8
00:17.0	34.8
00:17.0	34.8
00:17.0	34.8
00:17.0	34.8
00:17.1	34.9
00:17.1	34.9
00:17.1	34.9
00:17.1	34.9
00:17.1	34.9
00:17.2	35
00:17.2	35
00:17.2	35.1
00:17.2	35.2
00:17.2	35.2
00:17.3	35.2
00:17.3	35.2
00:17.3	35.2
00:17.3	35.3
00:17.3	35.3
00:17.4	35.4
00:17.4	35.4
00:17.4	35.5
00:17.4	35.5
00:17.4	35.5
00:17.5	35.5
00:17.5	35.5
00:17.5	35.6
00:17.5	35.7
00:17.5	35.8
00:17.6	35.8
00:17.6	35.8
00:17.6	35.8
00:17.6	35.8
00:17.6	35.8
00:17.7	35.9
00:17.7	36
00:17.7	36
00:17.7	36
00:17.7	36
00:17.8	36.1
00:17.8	36.1
00:17.8	36.1
00:17.8	36.2
00:17.8	36.3
00:17.9	36.3
00:17.9	36.3
00:17.9	36.3
00:17.9	36.3
00:17.9	36.3
00:18.0	36.3
00:18.0	36.3
00:18.0	36.3
00:18.0	36.4
00:18.0	36.5
00:18.1	36.5
00:18.1	36.5
00:18.1	36.5
00:18.1	36.5
00:18.1	36.6
00:18.2	36.6
00:18.2	36.6
00:18.2	36.7
00:18.2	36.8
00:18.2	36.8
00:18.3	36.8
00:18.3	36.8
00:18.3	36.8
00:18.3	36.9
00:18.3	37
00:18.4	37
00:18.4	37
00:18.4	37.1
00:18.4	37.1
00:18.4	37.1
00:18.5	37.2
00:18.5	37.2
00:18.5	37.2
00:18.5	37.2
00:18.5	37.2
00:18.6	37.2
00:18.6	37.3
00:18.6	37.3
00:18.6	37.3
00:18.6	37.3
00:18.7	37.3
00:18.7	37.3
00:18.7	37.4
00:18.7	37.5
00:18.7	37.5
00:18.8	37.6
00:18.8	37.7
00:18.8	37.7
00:18.8	37.7
00:18.8	37.7
00:18.9	37.8
00:18.9	37.8
00:18.9	37.8
00:18.9	37.8
00:18.9	37.8
00:19.0	37.8
00:19.0	37.8
00:19.0	37.9
00:19.0	38
00:19.0	38
00:19.1	38.1
00:19.1	38.1
00:19.1	38.2
00:19.1	38.2
00:19.1	38.2
00:19.2	38.2
00:19.2	38.2
00:19.2	38.2
00:19.2	38.2
00:19.2	38.2
00:19.3	38.3
00:19.3	38.3
00:19.3	38.4
00:19.3	38.4
00:19.3	38.5
00:19.4	38.5
00:19.4	38.5
00:19.4	38.5
00:19.4	38.5
00:19.4	38.5
00:19.5	38.6
00:19.5	38.6
00:19.5	38.6
00:19.5	38.7
00:19.5	38.8
00:19.6	38.8
00:19.6	38.9
00:19.6	38.9
00:19.6	38.9
00:19.6	38.9
00:19.7	38.9
00:19.7	38.9
00:19.7	38.9
00:19.7	39
00:19.7	39
00:19.8	39
00:19.8	39.1
00:19.8	39.1
00:19.8	39.1
00:19.8	39.1
00:19.9	39.1
00:19.9	39.2
00:19.9	39.2
00:19.9	39.3
00:19.9	39.3
00:20.0	39.3
00:20.0	39.3
00:20.0	39.3
00:20.0	39.3
00:20.0	39.3
00:20.1	39.3
00:20.1	39.4
00:20.1	39.5
00:20.1	39.5
00:20.1	39.5
00:20.2	39.6
00:20.2	39.6
00:20.2	39.6
00:20.2	39.6
00:20.2	39.7
00:20.3	39.7
00:20.3	39.7
00:20.3	39.7
00:20.3	39.7
00:20.3	39.7
00:20.4	39.7
00:20.4	39.8
00:20.4	39.9
00:20.4	39.9
00:20.4	39.9
00:20.5	39.9
00:20.5	39.9
00:20.5	39.9
00:20.5	39.9
00:20.5	39.9
00:20.6	39.9
00:20.6	39.9
00:20.6	40
00:20.6	40
00:20.6	40.1
00:20.7	40.1
00:20.7	40.1
00:20.7	40.1
00:20.7	40.1
00:20.7	40.2
00:20.8	40.3
00:20.8	40.3
00:20.8	40.3
00:20.8	40.4
00:20.8	40.4
00:20.9	40.4
00:20.9	40.4
00:20.9	40.4
00:20.9	40.5
00:20.9	40.5
00:21.0	40.5
00:21.0	40.5
00:21.0	40.5
00:21.0	40.5
00:21.0	40.5
00:21.1	40.6
00:21.1	40.5
00:21.1	40.5
00:21.1	40.5
00:21.1	40.5
00:21.2	40.5
00:21.2	40.6
00:21.2	40.7
00:21.2	40.7
00:21.2	40.7
00:21.3	40.7
00:21.3	40.7
00:21.3	40.8
00:21.3	40.8
00:21.3	41
00:21.4	41
00:21.4	41
00:21.4	41
00:21.4	41
00:21.4	41
00:21.5	41
00:21.5	41
00:21.5	41
00:21.5	41
00:21.5	41
00:21.6	41.1
00:21.6	41.1
00:21.6	41.1
00:21.6	41.1
00:21.6	41.1
00:21.7	41.2
00:21.7	41.2
00:21.7	41.2
00:21.7	41.2
00:21.7	41.2
00:21.8	41.2
00:21.8	41.2
00:21.8	41.3
00:21.8	41.3
00:21.8	41.3
00:21.9	41.3
00:21.9	41.4
00:21.9	41.5
00:21.9	41.5
00:21.9	41.5
00:22.0	41.5
00:22.0	41.5
00:22.0	41.6
00:22.0	41.6
00:22.0	41.7
00:22.1	41.7
00:22.1	41.7
00:22.1	41.7
00:22.1	41.7
00:22.1	41.7
00:22.2	41.7
00:22.2	41.7
00:22.2	41.7
00:22.2	41.8
00:22.2	41.8
00:22.3	41.8
00:22.3	41.9
00:22.3	41.9
00:22.3	41.9
00:22.3	41.9
00:22.4	41.9
00:22.4	41.9
00:22.4	42
00:22.4	42
00:22.4	42
00:22.5	42
00:22.5	42
00:22.5	42
00:22.5	42.1
00:22.5	42.1
00:22.6	42.1
00:22.6	42.2
00:22.6	42.2
00:22.6	42.3
00:22.6	42.3
00:22.7	42.3
00:22.7	42.3
00:22.7	42.3
00:22.7	42.3
00:22.7	42.3
00:22.8	42.4
00:22.8	42.4
00:22.8	42.4
00:22.8	42.4
00:22.8	42.4
00:22.9	42.4
00:22.9	42.4
00:22.9	42.4
00:22.9	42.4
00:22.9	42.4
00:23.0	42.4
00:23.0	42.5
00:23.0	42.5
00:23.0	42.5
00:23.0	42.5
00:23.1	42.5
00:23.1	42.6
00:23.1	42.6
00:23.1	42.6
00:23.1	42.6
00:23.2	42.6
00:23.2	42.7
00:23.2	42.7
00:23.2	42.7
00:23.2	42.7
00:23.3	42.7
00:23.3	42.7
00:23.3	42.7
00:23.3	42.7
00:23.3	42.7
00:23.4	42.8
00:23.4	42.9
00:23.4	42.9
00:23.4	42.9
00:23.4	42.9
00:23.5	42.9
00:23.5	42.9
00:23.5	43
00:23.5	43
00:23.5	43
00:23.6	43
00:23.6	43
00:23.6	43
00:23.6	43
00:23.6	43.1
00:23.7	43.1
00:23.7	43.2
00:23.7	43.3
00:23.7	43.3
00:23.7	43.3
00:23.8	43.3
00:23.8	43.3
00:23.8	43.3
00:23.8	43.4
00:23.8	43.4
00:23.9	43.4
00:23.9	43.4
00:23.9	43.4
00:23.9	43.4
00:23.9	43.4
00:24.0	43.4
00:24.0	43.4
00:24.0	43.4
00:24.0	43.4
00:24.0	43.5
00:24.1	43.5
00:24.1	43.5
00:24.1	43.5
00:24.1	43.5
00:24.1	43.5
00:24.2	43.6
00:24.2	43.6
00:24.2	43.7
00:24.2	43.7
00:24.2	43.7
00:24.3	43.7
00:24.3	43.7
00:24.3	43.7
00:24.3	43.7
00:24.3	43.7
00:24.4	43.7
00:24.4	43.7
00:24.4	43.7
00:24.4	43.8
00:24.4	43.8
00:24.5	43.8
00:24.5	43.8
00:24.5	43.9
00:24.5	43.9
00:24.5	43.9
00:24.6	43.9
00:24.6	43.9
00:24.6	43.9
00:24.6	44
00:24.6	44.1
00:24.7	44.1
00:24.7	44.1
00:24.7	44.1
00:24.7	44.1
00:24.7	44.1
00:24.8	44.1
00:24.8	44.1
00:24.8	44.1
00:24.8	44.2
00:24.8	44.2
00:24.9	44.2
00:24.9	44.2
00:24.9	44.3
00:24.9	44.3
00:24.9	44.3
00:25.0	44.3
00:25.0	44.3
00:25.0	44.4
00:25.0	44.4
00:25.0	44.4
00:25.1	44.4
00:25.1	44.4
00:25.1	44.4
00:25.1	44.4
00:25.1	44.4
00:25.2	44.4
00:25.2	44.4
00:25.2	44.5
00:25.2	44.5
00:25.2	44.6
00:25.3	44.6
00:25.3	44.6
00:25.3	44.6
00:25.3	44.6
00:25.3	44.6
00:25.4	44.6
00:25.4	44.6
00:25.4	44.7
00:25.4	44.7
00:25.4	44.7
00:25.5	44.7
00:25.5	44.8
00:25.5	44.8
00:25.5	44.8
00:25.5	44.9
00:25.6	44.9
00:25.6	44.9
00:25.6	44.9
00:25.6	44.9
00:25.6	44.9
00:25.7	44.9
00:25.7	44.9
00:25.7	44.9
00:25.7	44.9
00:25.7	44.9
00:25.8	44.9
00:25.8	45
00:25.8	45
00:25.8	45
00:25.8	45
00:25.9	45
00:25.9	45
00:25.9	45
00:25.9	45
00:25.9	45.1
00:26.0	45.1
00:26.0	45.1
00:26.0	45.1
00:26.0	45.1
00:26.0	45.1
00:26.1	45.1
00:26.1	45.1
00:26.1	45.1
00:26.1	45.2
00:26.1	45.2
00:26.2	45.2
00:26.2	45.2
00:26.2	45.2
00:26.2	45.2
00:26.2	45.2
00:26.3	45.2
00:26.3	45.2
00:26.3	45.2
00:26.3	45.2
00:26.3	45.3
00:26.4	45.3
00:26.4	45.3
00:26.4	45.3
00:26.4	45.2
00:26.4	45.3
00:26.5	45.3
00:26.5	45.3
00:26.5	45.4
00:26.5	45.4
00:26.5	45.4
00:26.6	45.4
00:26.6	45.4
00:26.6	45.4
00:26.6	45.4
00:26.6	45.4
00:26.7	45.4
00:26.7	45.4
00:26.7	45.5
00:26.7	45.5
00:26.7	45.5
00:26.8	45.5
00:26.8	45.5
00:26.8	45.5
00:26.8	45.5
00:26.8	45.6
00:26.9	45.7
00:26.9	45.7
00:26.9	45.7
00:26.9	45.7
00:26.9	45.7
00:27.0	45.7
00:27.0	45.7
00:27.0	45.7
00:27.0	45.7
00:27.0	45.7
00:27.1	45.7
00:27.1	45.7
00:27.1	45.7
00:27.1	45.8
00:27.1	45.8
00:27.2	45.8
00:27.2	45.8
00:27.2	45.8
00:27.2	45.8
00:27.2	45.8
00:27.3	45.9
00:27.3	45.9
00:27.3	45.9
00:27.3	45.9
00:27.3	45.9
00:27.4	45.9
00:27.4	45.9
00:27.4	45.9
00:27.4	46
00:27.4	46
00:27.5	46
00:27.5	46.1
00:27.5	46.1
00:27.5	46.1
00:27.5	46.1
00:27.6	46.1
00:27.6	46.1
00:27.6	46.1
00:27.6	46.1
00:27.6	46.2
00:27.7	46.2
00:27.7	46.2
00:27.7	46.2
00:27.7	46.2
00:27.7	46.3
00:27.8	46.3
00:27.8	46.3
00:27.8	46.3
00:27.8	46.3
00:27.8	46.3
00:27.9	46.3
00:27.9	46.3
00:27.9	46.3
00:27.9	46.3
00:27.9	46.3
00:28.0	46.3
00:28.0	46.3
00:28.0	46.4
00:28.0	46.4
00:28.0	46.4
00:28.1	46.4
00:28.1	46.4
00:28.1	46.4
00:28.1	46.5
00:28.1	46.5
00:28.2	46.5
00:28.2	46.5
00:28.2	46.5
00:28.2	46.5
00:28.2	46.5
00:28.3	46.5
00:28.3	46.5
00:28.3	46.5
00:28.3	46.5
00:28.3	46.5
